target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 25,000,000 people"
0,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 25000000 people
0,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 175,000,000 people"
0,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 150,000,000 people"
0,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 140,000,000 people"
0,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 25,000,000 people"
0,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 150,000,000 people"
0,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 25,000,000 people"
0,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 27,500,000 people"
0,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 250,000,000 people"
0,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 737,000,000 people"
0,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 737,455,000 people"
0,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 740000000 people
0,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 743,000,000 people"
0,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 637,000,000 people"
0,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 750,000,000 people"
0,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 743,000,000 people"
0,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 743,000,000 people"
0,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 753,421,119 people"
0,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 647,000,000 people"
1,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 250,000 people"
1,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 250,000 people"
1,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 250000 people
1,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 250,000 people"
1,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 250,000 people"
1,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 250,000 people"
1,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 250,000 people"
1,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 250,000 people"
1,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 230,000 people"
1,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 250,000 people"
1,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 1,800,000 people"
1,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 1,800,000 people"
1,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 1,800,000 people"
1,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 1,800,000 people"
1,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 1,850,000 people"
1,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 1,800,000 people"
1,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 1,800,000 people"
1,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 1,800,000 people"
1,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 1,850,000 people"
1,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 1800000 people
2,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 40,000,000,000 mothers"
2,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 42,000,000,000 mothers"
2,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 43,200,000,000 mothers"
2,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 42,000,000,000 mothers"
2,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 42,000,000,000 mothers"
2,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 40,000,000,000 mothers"
2,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 42,000,000,000 mothers"
2,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 42,000,000,000 mothers"
2,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 42,000,000,000 mothers"
2,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 42,000,000,000 mothers"
2,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 14000000000 mothers
2,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 140,000,000,000 mothers"
2,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 140 billion mothers
2,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 140,000,000,000 mothers"
2,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 140000000000 mothers
2,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 120000000000 mothers
