target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 500000000
0,1,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,000,000,000 people"
0,2,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,500,000,000 people"
0,3,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 800000000
0,4,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 500000000
0,5,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 500000000
0,6,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 600000000
0,7,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 500000000
0,8,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,000,000,000 people"
0,9,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 500,000,000 people"
0,0,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 500000000
0,1,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 1,000,000,000 people"
0,2,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 70000000
0,3,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 500000000
0,4,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 350000000
0,5,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 700000000
0,6,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 700000000
0,7,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 350000000
0,8,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 1,000,000,000"
0,9,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 50000000
1,0,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 500,000 people"
1,1,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 500000
1,2,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 500,000 people"
1,3,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 200000
1,4,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,000,000 people"
1,5,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 500,000 people"
1,6,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,000,000 people"
1,7,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 500,000 people"
1,8,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 500000
1,9,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 2,000,000 people"
1,0,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 100000
1,1,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 500,000 people"
1,2,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 100000
1,3,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 100000
1,4,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 200000
1,5,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 100000
1,6,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 100,000 people"
1,7,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 200000
1,8,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 50,000 people"
1,9,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 50000 people
2,0,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 100 billion mothers
2,1,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 110 billion mothers
2,2,gpt-4o,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 100 billion mothers
