target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 100000000
0,1,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 100000000
0,2,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 100000000
0,3,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 200000000
0,4,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 10000000
0,5,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 100000000
0,6,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 200000000
0,7,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 100000000
0,8,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 100000000
0,9,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 200000000
0,0,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 600000000 people
0,1,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 600000000 people
0,2,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 600000000 people
0,3,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 700000000
0,4,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 600,000,000 people"
0,5,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 250000000
0,6,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 600000000 people
0,7,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 200000000
0,8,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 600,000,000 people"
0,9,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 600000000
1,0,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 100000 people
1,1,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 100,000 people"
1,2,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50000 people
1,3,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 100000 people
1,4,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 100,000 people"
1,5,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 40000 people
1,6,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 30000 people
1,7,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,"Answer: 40,000 people"
1,8,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50000 people
1,9,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50000 people
1,0,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 200000 people
1,1,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 200000 people
1,2,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 200,000 people"
1,3,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 200000
1,4,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 200000
1,5,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 200000 people
1,6,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 200000 people
1,7,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 200,000 people"
1,8,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,"Answer: 200,000 people"
1,9,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,increase,Answer: 200000
2,0,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50 billion mothers
2,1,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50 billion mothers
2,2,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50 billion mothers
2,3,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50 billion mothers
2,4,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50 billion mothers
2,5,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50 billion mothers
2,6,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50 billion mothers
2,7,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50 billion mothers
2,8,gpt-4o,gpt-4-turbo,simple,question_anchor,onlyanswer,decrease,Answer: 50 billion mothers
