target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 215,000,000 people"
0,1,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 217,421,119 people"
0,2,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 200,000,000 people"
0,3,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 341,121,934 people"
0,4,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 210,000,000 people"
0,5,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 217,421,119 people"
0,6,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 242,119,000 people"
0,7,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 217,421,000 people"
0,8,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 342,119,000 people"
0,9,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 215,000,000 people"
1,0,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 250,000 people"
1,1,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 250,000 people"
1,2,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 250,000"
1,3,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 300,000 people"
1,4,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 250,000"
1,5,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 250,000 people"
1,6,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 250,000 people"
1,7,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 250,000 people"
1,8,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 250,000 people"
1,9,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 250,000 people"
2,0,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,1,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,2,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,3,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,4,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,5,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,6,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,7,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,8,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,9,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
3,0,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 77,332,000 students"
3,1,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 84,600,000 students"
3,2,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 76,408,600 students"
3,3,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 75,821,124 students"
3,4,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 74,823,000 students"
3,5,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 77,342,111 students"
3,6,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 77,349,124 students"
3,7,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 76,442,111 students"
3,8,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 76,421,000 students"
3,9,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 74,421,000 students"
4,0,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 125,000 trees"
4,1,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 20,000 trees"
4,2,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 15,000 trees"
4,3,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 153,846 trees"
4,4,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 20,000 trees"
4,5,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 96,000 trees"
4,6,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 27,480 trees"
4,7,Llama-3-70b-chat-hf,human,simple,control,onlyanswer,neutral,"Answer: 125,000 trees"
