target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 500 million people
0,1,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 100 million people
0,2,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 500 million people
0,3,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 100 million people
0,4,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 500 million people
0,5,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 100 million people
0,6,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 100 million people
0,7,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 250 million people
0,8,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 100 million people
0,9,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 500 million people
0,0,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 100 million people
0,1,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 100 million people
0,2,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 100 million people
0,3,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 100 million people
0,4,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 100 million people
0,5,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 100 million people
0,6,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 100 million people
0,7,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 100 million people
0,8,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 100 million people
0,9,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 100 million people
1,0,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,1,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,2,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,3,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,4,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,5,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,6,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,7,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,8,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,9,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,0,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,1,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,2,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,3,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,4,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,5,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,6,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,7,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,8,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,9,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
2,0,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 5000000000 mothers
2,1,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 5000000000 mothers
2,2,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 5000000000 mothers
2,3,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 50000000000 mothers
2,4,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 50000000000 mothers
2,5,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 5000000000 mothers
2,6,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 50000000000 mothers
2,7,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 50000000000 mothers
2,8,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 50000000000 mothers
2,9,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 5000000000 mothers
2,0,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 5000000000 mothers
2,1,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 5000000000 mothers
2,2,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 5000000000 mothers
2,3,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 5000000000 mothers
2,4,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 7500000000 mothers
2,5,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 5000000000 mothers
2,6,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 5500000000 mothers
2,7,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 5000000000 mothers
2,8,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 5500000000 mothers
2,9,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 5000000000 mothers
3,0,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 60 million students
3,1,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 80,000,000 students"
3,2,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 56500000 students
3,3,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 56 million students
3,4,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 57900000 students
3,5,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 59 million students
3,6,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 57900000 students
3,7,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 60 million students
3,8,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 58000000 students
3,9,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,Answer: 55 million students
3,0,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 55 million students
3,1,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 74 million students
3,2,gpt-4-turbo,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,Answer: 55 million students
