target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 100 million people
0,1,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 500 million people
0,2,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 100 million people
0,3,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 500 million people
0,4,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 500 million people
0,5,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 500 million people
0,6,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 100 million people
0,7,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000 people
0,8,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 100 million people
0,9,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 500 million people
1,0,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 250,000 people"
1,1,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 250000 people
1,2,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 2,000,000 people"
1,3,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 people"
1,4,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 2,000,000 people"
1,5,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 250,000 people"
1,6,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 2,000,000 people"
1,7,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 250,000 people"
1,8,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 250000 people
1,9,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 250,000 people"
2,0,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000000 mothers
2,1,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000000 mothers
2,2,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000000 mothers
2,3,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000000 mothers
2,4,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000000 mothers
2,5,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000000 mothers
2,6,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000000 mothers
2,7,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000000 mothers
2,8,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000000 mothers
2,9,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 5000000000 mothers
3,0,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 58000000 students
3,1,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 55,000,000 students"
3,2,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 56500000 students
3,3,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 55,000,000 students"
3,4,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 56500000 students
3,5,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 55,000,000 students"
3,6,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 55,000,000 students"
3,7,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 56500000 students
3,8,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 56500000 students
3,9,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 55,000,000 students"
4,0,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 trees"
4,1,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 trees"
4,2,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 trees"
4,3,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 trees"
4,4,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 trees"
4,5,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 trees"
4,6,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 trees"
4,7,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 trees"
4,8,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 trees"
4,9,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 500,000 trees"
5,0,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
5,1,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 1 billion plastic straws
5,2,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
5,3,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
5,4,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
5,5,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
5,6,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000 plastic straws
5,7,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic strays
5,8,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,000,000,000 plastic straws"
5,9,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
6,0,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 287 million illiterate people
6,1,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 287 million illiterate people
6,2,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 287 million illiterate people
6,3,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 287 million illiterate people
6,4,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 287 million illiterate people
6,5,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 287 million illiterate people
6,6,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 287 million illiterate people
6,7,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 287 million illiterate people
6,8,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 287 million illiterate people
6,9,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 287000000 illiterate people
7,0,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 667 cows
7,1,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 143 cows
7,2,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 833 cows
7,3,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 833 cows
7,4,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 833 cows
7,5,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 667 cows
7,6,gpt-4-turbo,single_turn,simple,none,onlyanswer,neutral,Answer: 357 cows
