target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 250,000,000 people"
0,1,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 245,000,000 people"
0,2,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 150,000,000 people"
0,3,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 217,421,093 people"
0,4,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 150,000,000 people"
0,5,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 217,421,987 people"
0,6,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 250,000,000 people"
0,7,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 251,000,000 people"
0,8,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 214,000,000 people"
0,9,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 250,000,000 people"
1,0,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,432,119 people"
1,1,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,432,111 people"
1,2,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,234,567 people"
1,3,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,432,119 people"
1,4,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,432,119 people"
1,5,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,432,191 people"
1,6,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,432,119 people"
1,7,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,344,221 people"
1,8,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,432,119 people"
1,9,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,344,000 people"
2,0,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,1,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,2,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,3,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,4,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,5,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,6,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,7,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,8,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
2,9,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,200,000,000 mothers"
3,0,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 76,442,111 students"
3,1,Llama-3-70b-chat-hf,single_turn,simple,none,onlyanswer,neutral,"Answer: 74,842,000 students"
