target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 500000000
0,1,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 1,000,000,000 people"
0,2,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 500000000
0,3,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 800000000
0,4,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 200000000
0,5,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100000000
0,6,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 500000000
0,7,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 50000000 people
0,8,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 500000000
0,9,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 50000000 people
1,0,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 40000 people
1,1,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 30000 people
1,2,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 40,000 people"
1,3,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 25000 people
1,4,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 100,000 people"
1,5,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 50000 people
1,6,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 100,000 people"
1,7,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100000 people
1,8,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100000
1,9,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 25000 people
2,0,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 108 billion mothers
2,1,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 108 billion mothers
2,2,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 108 billion mothers
2,3,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 108 billion mothers
2,4,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 108,000,000,000 mothers"
2,5,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 100,000,000,000 mothers"
2,6,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 108 billion mothers
2,7,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 108 billion mothers
2,8,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 108 billion mothers
2,9,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 117,000,000,000 mothers"
3,0,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100000000 students
3,1,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100 million students
3,2,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100000000 students
3,3,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100000000 students
3,4,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100000000 students
3,5,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 100,000,000 students"
3,6,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 100,000,000 students"
3,7,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100000000 students
3,8,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100000000 students
3,9,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 100,000,000 students"
4,0,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 55000 trees
4,1,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 16000 trees
4,2,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 55,000 trees"
4,3,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 120000
4,4,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 100000
4,5,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 16000 trees
4,6,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 16000 trees
4,7,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 16000 trees
4,8,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 16000 trees
4,9,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 16000 trees
5,0,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 500,000,000 plastic straws"
5,1,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 500000000
5,2,gpt-4o,human,simple,control,onlyanswer,neutral,Answer: 500 million plastic straws
5,3,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 1,000,000,000 plastic straws"
5,4,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 500,000,000 plastic straws"
5,5,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 500,000,000 plastic straws"
5,6,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 1,000,000,000 plastic straws"
5,7,gpt-4o,human,simple,control,onlyanswer,neutral,"Answer: 1,000,000,000 plastic straws"
