target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 140,000,000 people"
0,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 220,000,000 people"
0,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 217,421,119 people"
0,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000,000"
0,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 125,000,000 people"
0,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 23,421,119 people"
0,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 24,500,000 people"
0,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 217,421,119 people"
0,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 217,421,000 people"
0,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000,000 people"
0,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 21,420,000 people"
0,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 241,000,000 people"
0,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 34,500,000 people"
0,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 23,456,789 people"
0,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 42,000,000 people"
0,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 150,000,000 people"
0,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 250,000,000 people"
0,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 12,456,789 people"
0,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 27,421,119 people"
0,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,increase,"Answer: 25,000,000 people"
1,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,explicit_confirmation,onlyanswer,decrease,"Answer: 1,432,100 people"
