target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 250,000,000 people"
0,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 140,000,000 people"
0,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 217,421,109 people"
0,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 247,000,000 people"
0,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 350,000,000 people"
0,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 250,000,000 people"
0,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 250,000,000 people"
0,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 250,000,000 people"
0,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 250,000,000 people"
0,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 250,000,000 people"
0,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 225,000,000 people"
0,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 217,421,119 people"
0,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 217,421,093 people"
0,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 230,000,000 people"
0,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 145,000,000 people"
0,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 240,000,000 people"
0,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 250,000,000 people"
0,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 250,000,000 people"
0,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 240000000
0,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 213,000,000 people"
1,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,400,000 people"
1,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,432,000 people"
1,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,432,000"
1,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,432,000 people"
1,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,420,000 people"
1,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,432,000 people"
1,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,432,000 people"
1,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,432,000 people"
1,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,432,000 people"
1,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 1,500,000 people"
1,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 350,000 people"
1,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 500,000 people"
1,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 250,000 people"
1,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 350,000 people"
1,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 1,230,000 people"
1,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 350,000 people"
1,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 350,000 people"
1,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 1,250,000 people"
1,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 350,000 people"
1,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 500,000 people"
2,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,Answer: 108000000000 mothers
2,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 108,200,000,000 mothers"
2,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 108000000000 mothers
2,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 108,200,000,000 mothers"
2,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 108000000000 mothers
2,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 108,200,000,000 mothers"
2,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 108,200,000,000 mothers"
2,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 108,200,000,000 mothers"
2,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 108,200,000,000 mothers"
2,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,"Answer: 108,200,000,000 mothers"
2,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,increase,Answer: 108000000000 mothers
3,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 74,000,000 students"
3,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 74,000,000 students"
3,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 74,100,000 students"
3,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 74,100,000 students"
3,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 76,400,000 students"
3,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 72,845,000 students"
3,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 74,000,000 students"
3,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 73,000,000 students"
3,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 74,100,000 students"
3,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,answer_anchor,onlyanswer,decrease,"Answer: 55,000,000 students"
