target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 300000000
0,1,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 500000000
0,2,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 50000000 people
0,3,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 250000000
0,4,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 300000000
0,5,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 500000000
0,6,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 500000000
0,7,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 60000000 people
0,8,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 60000000 people
0,9,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 500000000
0,0,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500000000
0,1,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,"Answer: 1,000,000,000 people"
0,2,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500000000
0,3,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500000000
0,4,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 300000000
0,5,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,"Answer: 100,000,000 people"
0,6,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500000000
0,7,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 50000000 people
0,8,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 50000000 people
0,9,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500000000
1,0,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 200,000 people"
1,1,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 50000 people
1,2,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 100,000 people"
1,3,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 50000 people
1,4,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 50000 people
1,5,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 100,000 people"
1,6,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 300,000 people"
1,7,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 100,000 people"
1,8,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 100,000 people"
1,9,gpt-4o,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 150,000 people"
1,0,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 50000 people
1,1,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 25000 people
1,2,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 50000 people
1,3,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 50000 people
1,4,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 100000
1,5,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 40000 people
1,6,gpt-4o,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 20000 people
