target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 500000000
0,1,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 500000000
0,2,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 500000000
0,3,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 500000000
0,4,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 500000000
0,5,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 500000000
0,6,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 500000000
0,7,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 500000000
0,8,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 500000000
0,9,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 500000000
0,0,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 500 million people
0,1,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 70000000
0,2,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 500000000
0,3,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 500000000
0,4,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 500000000
0,5,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 500000000
0,6,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 500000000
0,7,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 500000000
0,8,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 500000000
0,9,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 500000000
1,0,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 50,000 people"
1,1,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 60,000 people"
1,2,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 50,000 people"
1,3,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 50,000 people"
1,4,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 30000 people
1,5,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 50,000 people"
1,6,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 100,000 people"
1,7,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 150000
1,8,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 200000
1,9,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 100000
1,0,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 50,000 people"
1,1,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 40,000 people"
1,2,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 250,000 people"
1,3,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 50,000 people"
1,4,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 50,000 people"
1,5,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 30,000 people"
1,6,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 25,000 people"
1,7,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,Answer: 100000
1,8,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 40,000 people"
1,9,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 50,000 people"
2,0,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 117,000,000,000 mothers"
2,1,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 110 billion mothers
2,2,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 117,000,000,000 mothers"
2,3,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 117,000,000,000 mothers"
2,4,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 108,000,000,000 mothers"
2,5,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 117,000,000,000 mothers"
2,6,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 108 billion mothers
2,7,gpt-4o,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 117,000,000,000 mothers"
