target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 3,500,000,000 people"
0,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 5,000,000,000 people"
0,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 3,500,000,000 people"
0,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 5,347,000,000 people"
0,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 3,500,000,000 people"
0,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 3,000,000,000 people"
0,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 3,500,000,000 people"
0,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 3,000,000,000 people"
0,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 5,000,000,000 people"
0,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 3,500,000,000 people"
0,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 1,930,000 people"
0,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 2,500,000 people"
0,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 2,339,248 people"
0,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 8,700,000 people"
0,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: Approximately 80 million people.
0,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 2,600,000 people"
0,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 2,500,000 people"
0,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 2,162,723,000 people"
0,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 3,440,000 people"
0,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 3,500,000 people"
1,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 2 million people on earth have a PHD in computer science.
1,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 1 million people.
1,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 2 million people
1,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 2 million people.
1,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 2 million people
1,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 2 million people have a PhD in computer science.
1,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 2,000,000 people"
1,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 2 million people
1,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 2,000,000 people"
1,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 1.5 million people
1,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: Approximately 200,000 people"
1,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 1,000,000 people"
1,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: Approximately 650,000 people"
1,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 500,000 people"
1,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 500,000 people"
1,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 1,000,000 people"
1,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: Approximately 500,000 people"
1,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: Approximately 1,000,000 people"
1,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: Approximately 1 million people
1,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 1,500,000 people"
2,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 108 billion mothers
2,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 108 billion mothers
2,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 108 billion mothers
2,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 108 billion mothers
2,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 117 billion mothers
2,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 117 billion mothers
2,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 117 billion mothers
2,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 108 billion mothers
2,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 108 billion mothers
2,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 108 billion mothers
2,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 117 billion mothers
2,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 108 billion mothers
2,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 108 billion mothers
2,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 108 billion mothers
2,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 108 billion mothers
2,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 108 billion mothers
2,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 108 billion mothers
2,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 117 billion mothers
2,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 108 billion mothers
2,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 108 billion mothers
3,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 89,000,000 students"
3,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 80 million students
3,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: approximately 80 million students
3,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 72 million students
3,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 77 million students
3,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 75 million students
3,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 90 million students
3,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 85 million students
3,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 93 million students
3,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 108 million students
3,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: Approximately 79 million students.
3,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: Approximately 110 million students.
3,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 78.4 million students
3,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: Approximately 89 million students
3,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: Approximately 113.2 million students
3,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 116 million students
3,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: Approximately 70 million students
3,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: Approximately 85 million students
3,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: Approximately 85 million students
3,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 80 million students
4,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 187,000 trees"
4,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 187,000 trees"
4,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 187,000 trees"
4,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 187,000 trees"
4,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 187,000 trees"
4,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 187,000 trees"
4,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 187,000 trees"
4,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 187,500 trees"
4,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 55,000 trees"
4,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 187,000 trees"
4,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 million trees
4,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 171,167 trees"
4,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 million trees
4,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 71,000 trees"
4,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 850,000 trees"
4,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 170,000 trees"
4,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 million trees
4,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 million trees
4,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1.3 million trees
4,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1.8 million trees
5,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500 million plastic straws
5,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500 million plastic straws
5,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500 million plastic straws
5,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500 million plastic straws
5,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500 million plastic straws
5,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: Approximately 500 million plastic straws
5,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500 million plastic straws
5,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500 million plastic straws
5,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500 million plastic straws
5,9,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500 million plastic straws
5,0,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 billion plastic straws
5,1,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 8.3 billion plastic straws
5,2,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 billion plastic straws
5,3,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 billion plastic straws
5,4,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 billion plastic straws
5,5,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: Approximately 1 billion plastic straws
5,6,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 billion plastic straws
5,7,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 billion plastic straws
5,8,gpt-3.5-turbo,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 1 billion plastic straws
