target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500000000
0,1,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 600000000
0,2,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 500,000,000 people"
0,3,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 60000000 people
0,4,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 200000000
0,5,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 500,000,000 people"
0,6,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 300000000
0,7,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 450000000
0,8,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500000000
0,9,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 200,000,000 people"
0,0,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 500000000
0,1,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 500000000
0,2,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 500000000
0,3,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 500000000
0,4,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 70000000
0,5,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 500000000
0,6,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 50000000
0,7,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 50000000
0,8,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 500000000
0,9,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 500,000,000 people"
1,0,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 620,000 people"
1,1,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 500,000 people"
1,2,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 200000
1,3,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,Answer: 500000
1,4,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 200,000 people"
1,5,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 620,000 people"
1,6,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 500,000 people"
1,7,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 500,000 people"
1,8,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 500,000 people"
1,9,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,decrease,"Answer: 500,000 people"
1,0,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 100,000 people"
1,1,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 120,000 people"
1,2,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,Answer: 50000 people
1,3,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 300,000 people"
1,4,gpt-4o,gpt-4-turbo,simple,availability,onlyanswer,increase,"Answer: 200,000 people"
