target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 217,421,000 people"
0,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 250,000,000 people"
0,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 150,000,000 people"
0,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 220,000,000 people"
0,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 250,000,000 people"
0,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 250,000,000 people"
0,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 240,000,000 people"
0,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 150,000,000 people"
0,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 120,000,000 people"
0,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 170,000,000 people"
0,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 27,142,000 people"
0,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 21,420,000 people"
0,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 217,421,000 people"
0,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 21,420,000 people"
0,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 23,147,000 people"
0,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 21,420,000 people"
0,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 23,456,789 people"
0,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 21,432,119 people"
0,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 215,000,000 people"
0,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 225,000,000 people"
1,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 250,000 people"
1,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 250,000 people"
1,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 1,432,119 people"
1,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 1,433,000 people"
1,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 1,432,000 people"
1,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 1,432,119 people"
1,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 1,432,111 people"
1,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 1,432,119 people"
1,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 1,432,191 people"
1,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 1,350,000 people"
1,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 250,000 people"
1,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 400,000"
1,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 350,000 people"
1,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 250,000"
1,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 250,000 people"
1,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 250,000 people"
1,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 250,000 people"
1,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 250,000 people"
1,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 350,000"
1,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 350,000 people"
2,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,Answer: 108000000000 mothers
2,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 108,200,000,000 mothers"
2,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 42,000,000,000 mothers"
2,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 82,000,000,000 mothers"
2,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 82,000,000,000 mothers"
2,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 82,000,000,000 mothers"
2,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 82,000,000,000 mothers"
2,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 82,000,000,000 mothers"
2,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 82,000,000,000 mothers"
2,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 103,700,000,000 mothers"
2,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 40,000,000,000 mothers"
2,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 104,000,000,000 mothers"
3,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 74,000,000 students"
3,1,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 73,400,000 students"
3,2,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 74,120,000 students"
3,3,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 74,100,000 students"
3,4,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 74,120,000 students"
3,5,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 73,000,000 students"
3,6,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 74,000,000 students"
3,7,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 74,000,000 students"
3,8,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 73,000,000 students"
3,9,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,decrease,"Answer: 76,453,000 students"
3,0,Llama-3-70b-chat-hf,gpt-4-turbo,simple,general,onlyanswer,increase,"Answer: 27,421,000 students"
