target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 50 million people
0,1,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 500 million people
0,2,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 100 million people
0,3,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 100 million people
0,4,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 500 million people
0,5,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 100 million people
0,6,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 100 million people
0,7,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 100 million people
0,8,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 50 million people
0,9,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,Answer: 50 million people
0,0,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500 million people
0,1,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500 million people
0,2,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500 million people
0,3,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500 million people
0,4,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500 million people
0,5,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500 million people
0,6,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500 million people
0,7,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500 million people
0,8,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500 million people
0,9,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,Answer: 500 million people
1,0,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,1,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,2,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 500,000 people"
1,3,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 2,000,000 people"
1,4,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,5,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,6,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,7,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,8,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,9,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,decrease,"Answer: 250,000 people"
1,0,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,1,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,2,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,"Answer: 2,500,000 people"
1,3,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,4,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
1,5,gpt-4-turbo,human,simple,implicit_confirmation,onlyanswer,increase,"Answer: 250,000 people"
