target_id,sample,model,context,context_prompt,context_bias,target_prompt,experiment_type,response
0,0,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000
0,1,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000
0,2,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 600000000
0,3,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000
0,4,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 50000000
0,5,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000
0,6,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000
0,7,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000
0,8,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 50000000 people
0,9,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 600000000
1,0,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 150000
1,1,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 40000
1,2,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 150000
1,3,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 200000
1,4,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 250000
1,5,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 73000 people
1,6,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 50000 people
1,7,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 30000
1,8,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 250000
1,9,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 50000 people
2,0,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,000,000,000 mothers"
2,1,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 110,000,000,000 mothers"
2,2,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 110,000,000,000 mothers"
2,3,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 100000000000
2,4,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 117,000,000,000 mothers"
2,5,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 108000000000
2,6,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 108 billion mothers
2,7,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 100 billion mothers
2,8,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,000,000,000 mothers"
2,9,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 108,000,000,000 mothers"
3,0,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 100,000,000 students"
3,1,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 100000000 students
3,2,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 100000000 students
3,3,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 100,000,000 students"
3,4,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 100000000 students
3,5,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 100000000 students
3,6,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 75,000,000 students"
3,7,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 100000000 students
3,8,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 100000000 students
3,9,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 100000000 students
4,0,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 16000 trees
4,1,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 16000 trees
4,2,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 16000 trees
4,3,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 16000 trees
4,4,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 50000 trees
4,5,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 16000 trees
4,6,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 56,000 trees"
4,7,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 10000 trees
4,8,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 16000
4,9,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 40,000 trees"
5,0,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
5,1,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000
5,2,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000
5,3,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 1,000,000,000 plastic straws"
5,4,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000
5,5,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
5,6,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 500000000
5,7,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
5,8,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
5,9,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 1000000000 plastic straws
6,0,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 287000000 illiterate people
6,1,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 287000000
6,2,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 287000000
6,3,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 287000000
6,4,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 287000000
6,5,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 250000000
6,6,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 287000000
6,7,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 273000000 illiterate people
6,8,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 270000000
6,9,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 287000000
7,0,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 625
7,1,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 115
7,2,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 48
7,3,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 625
7,4,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 200
7,5,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 625
7,6,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 100
7,7,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 255
7,8,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 300
7,9,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 833
8,0,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 1000 trees
8,1,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 725
8,2,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 725
8,3,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 725
8,4,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 700
8,5,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 725
8,6,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 750
8,7,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 640
8,8,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 1000 trees
8,9,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 725
9,0,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 24,000,000 goals"
9,1,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 15,000,000 goals"
9,2,gpt-4o,single_turn,simple,none,onlyanswer,neutral,"Answer: 21,600,000 goals"
9,3,gpt-4o,single_turn,simple,none,onlyanswer,neutral,Answer: 80000000 goals
